""	"HFe_d5_rep1"	"HFe_d5_rep2"	"HFe_d5_rep3"	"LFe_d5_rep1"	"LFe_d5_rep2"	"MFe_d5_rep1"	"MFe_d5_rep2"
"Tery_0763"	8.1595109236999	8.29447410816869	8.44433643552626	8.04844585037788	8.30316885167703	8.13852962272909	8.49445636334372
"Tery_0764"	8.73466050195921	8.80659467260838	8.64160286138767	8.64661883732988	8.74881188718938	8.66987669427126	8.53928796491596
"Tery_0765"	8.58306217091062	8.26610535957576	8.35035862546185	8.49086478983518	8.46855782106817	8.0684541989365	8.64759877387333
"Tery_0766"	5.39920190717858	4.95032476316173	5.0722783710048	5.21599368128706	5.06713070752115	5.32402576854602	5.19656167965733
"Tery_0767"	6.9434840033516	6.99085232611462	7.06208827936103	7.04175332859334	7.06480084475447	7.45093329546584	7.12985461940223
"Tery_0768"	7.01289397467596	6.90627559526451	6.85163402547854	6.87912554386928	6.88432302128972	6.63189628165976	6.90913369093926
"Tery_0770"	8.68442250874914	8.71959231029581	8.71409231810686	8.60175038777307	8.37566833417629	8.88007804637269	8.62291841358285
"Tery_0771"	1.60381483257871	1.76081026048355	1.57045988775307	1.61938404691304	1.62983582619539	1.59923524276318	1.56714579733149
"Tery_0774"	9.68656713855766	9.13894738595859	9.24721242261909	8.77983661921878	8.8142763481068	8.90466398140211	8.9707148812422
"Tery_0775"	7.37951832056879	6.85511040646075	7.20574142962364	7.24867897927589	7.2251356760686	6.48574491374564	7.38752199475294
"Tery_0776"	7.67707241643073	7.46262413716713	7.61455539754812	7.83180660257278	7.80916855790178	7.08148770892392	7.53852710781596
"Tery_0777"	5.30990044262587	4.95036157304923	5.03044874314642	5.17696084539527	4.94928399532329	5.24494577934023	4.90616400400762
"Tery_0781"	8.81315560662845	8.97508408675734	8.77467917508777	8.96673032771701	9.03609326989715	8.98360071638934	8.87725381061305
"Tery_0783"	11.0165784251883	11.1510391427729	11.0177268335307	11.2233679600975	11.029351460303	11.3917996707354	11.0882137821502
"Tery_0784"	8.81762955161896	8.52597770776356	8.38478237710509	9.12774813244773	8.46976033175731	8.71988905773501	8.48513176630975
"Tery_0785"	7.11000279825099	7.09617531492211	7.0714235855664	6.96100684385051	6.9872998557493	6.49113950869676	6.87442475355224
"Tery_0786"	8.93141710575651	8.71807943003794	8.69570586114041	8.61138933754335	8.57499719362134	8.8683160412132	8.76664558757239
"Tery_0788"	2.72884822592835	2.8100994672017	2.87764602694751	2.87159307489547	2.74677164019423	2.6314232607934	2.80597031038933
"Tery_0789"	3.79575504138645	3.69871691421712	3.7134685845094	3.76180338201361	3.89748105301053	3.61357885219139	3.86379640504569
"Tery_0790"	7.54685119527127	7.26222020816042	7.32440721604507	7.39228673395103	7.16149089577644	7.55418345745451	7.62106049877337
"Tery_0792"	10.7671693106384	10.5816156429852	11.582370407501	10.6927807676204	11.1024165476844	10.4979917137116	11.6648945624212
"Tery_0794"	4.99087971273194	5.24838119807537	4.96752453953477	5.01212265790007	5.18744759352903	5.16899208377389	5.13051765158395
"Tery_0795"	6.21491317581495	6.0734382771016	6.2310257202304	6.14663423091565	5.94229063864959	6.37359231014423	6.27561312871229
"Tery_0797"	5.98153314810644	5.71100758159517	5.87679782064022	5.69196014706925	5.41968780688845	5.72585595292141	5.7495933444066
"Tery_0798"	4.14384449923162	4.24295584064396	4.10485425751345	3.99792027401386	4.1011835294083	4.19344075916754	4.25983219787217
"Tery_0799"	6.76507422976644	6.76664384076346	6.68789196255351	6.85846915377056	6.92007771049029	7.13073886559066	6.63742345684733
"Tery_0800"	7.25861154501965	7.13584447362636	7.01111166100175	7.2967068822602	7.12632784899246	7.38543589863097	7.22756472043421
"Tery_0801"	8.49688583797176	8.67243516793844	8.46850124685718	8.65132687270279	8.52301318752987	8.96067548304753	8.53588146383011
"Tery_0802"	6.79250378569687	6.73002834829098	6.53353720981773	6.48375815329858	6.61599424096545	6.8129173058613	6.39376576875415
"Tery_0803"	11.011260263463	10.9878554275158	10.9597199950853	10.9903247517811	10.673661078723	11.3938307247964	11.0037004059637
"Tery_0804"	5.33787088828022	5.44569854008959	5.21043807485772	5.46024835763973	5.55237419315542	5.49159521666468	5.35832267607184
"Tery_0805"	6.17619621039724	5.97570805266114	6.27282498717136	5.79742009850951	5.78184806730928	6.06047679195061	6.04302266544939
"Tery_0806"	5.08932188418986	5.08269838660895	4.96396205609268	4.7294204825376	5.14660656517163	4.65545144401362	4.97300510530638
"Tery_0807"	9.64168138152129	9.6132967017541	9.98098813513352	9.57980576867877	9.67916957408152	9.40977802732622	10.0712318366295
"Tery_0808"	9.26619548361352	9.22170081395553	9.24463957200867	9.09389464520839	9.07048643914504	9.15083777733681	9.2569568715587
"Tery_0809"	8.13882236903624	8.31641100110474	8.20713065009977	7.89336138979795	8.21823558970943	7.8944236376777	8.06496373566324
"Tery_0811"	7.84023142429191	7.6869996579163	7.84127654317965	7.91262294444503	7.83612623862584	7.49905109691737	7.72877460295716
"Tery_0812"	8.21549592819012	8.11810017567288	8.18493784033517	8.39551992619072	8.25564142134687	7.95060764880266	8.04577420109495
"Tery_0813"	4.57320314154849	4.46890734507629	4.64834768064599	4.43971474694533	4.71971529657478	4.43202761593965	4.74313622892784
"Tery_0814"	6.29303020866668	6.34689722768211	6.21785776340899	6.4486246917414	6.21107745793466	6.07918600728377	6.41786207863728
"Tery_0815"	6.48915941410318	6.42478841147378	6.5070536105467	6.70820059500887	6.40317977289062	6.63945757765685	6.68247900206218
"Tery_0816"	3.32767276523322	3.44605949786971	3.34211410387444	3.36949629777933	3.45696060933232	3.38524957201385	3.52279809878255
"Tery_0817"	6.08179486787936	5.66941208483188	5.88468100439856	5.92328269163498	5.69868324055383	6.08352838990632	5.81403551142802
"Tery_0819"	4.1701475286484	4.32307328379697	4.21447774795794	4.4829600664132	4.52934691702593	4.24698159387585	4.37024278233911
"Tery_0820"	4.81100673139654	4.86481655084751	4.70270077184981	4.58064007316582	4.87843117667686	4.70949984381026	4.57644610591038
"Tery_0822"	2.18177485977362	2.24324436166011	2.22094223860951	2.2043851896103	2.07020435662435	2.27227328043387	2.26031815456416
"Tery_0823"	6.16294566144514	6.3041879480712	6.11704166506295	6.29138724040192	6.12794932326179	6.2366376641424	5.95861744822449
"Tery_0824"	5.92389848000672	6.12761475854772	6.10850692342927	5.79811027870435	6.15099139775815	6.12774744929572	5.87428049604154
"Tery_0825"	5.57770270656029	5.56254617735376	5.54483277689657	5.40715721143468	5.69111177011944	5.70473153565027	5.5999273601626
"Tery_0826"	7.31476496763381	7.08421196729981	7.10901792720247	7.75595639013111	7.30975573077742	7.37822695024414	7.191939759586
"Tery_0827"	4.10769357158198	4.20748315184573	4.07458303168445	4.47598418918876	4.48367406307266	4.31016027950635	4.36272400066551
"Tery_0828"	8.66041597621138	8.90268378806318	8.73691529463639	8.87798763464758	8.78949373289582	9.07556361635717	8.80512959433338
"Tery_0829"	6.67782289261032	6.74775773882912	6.63001897565802	6.9221043031076	6.76145762701512	7.05516117557483	6.92711707662442
"Tery_0830"	7.51515745003049	7.75374631143409	7.56639695785598	8.98937940959456	8.85218671568344	8.97124142967543	8.37329036565714
"Tery_0831"	7.7749675822583	7.95854432187508	7.84280826550445	9.14310930724494	9.12804294741721	8.97537002373955	8.95133440625093
"Tery_0832"	8.17863112678342	7.96869548587678	8.09420868834656	8.17347392237256	8.27430224175371	7.90591326194408	8.16908126334065
"Tery_0833"	5.44563994681925	5.70368045604391	5.42793905689879	5.88373760403716	5.75101191788038	5.54086745491863	5.58814767776444
"Tery_0835"	7.65065694651623	7.87788101778949	7.96310556748554	7.87167563155037	8.03229932749368	7.77597436556073	7.75200835175726
"Tery_0836"	10.7540612450963	10.7823355092386	10.6690988376832	11.0118884532268	10.676334192935	11.0092800162348	10.6113148492713
"Tery_0837"	5.91558301765142	5.98604783682201	5.62627572515694	5.64152976943603	5.54735109582711	5.81776216098005	5.90052700305935
"Tery_0838"	6.40422690183479	6.27397090127574	6.38339985587785	6.19687988410202	6.19611230294667	6.16354634003373	6.30068718420473
"Tery_0842"	3.0579676408036	2.99682888202736	2.85266118070114	3.06657882908966	3.03893336628565	2.93329796654624	3.09905648564398
"Tery_0843"	7.05943634881762	6.9399860089536	6.96200662837783	6.43387023223614	6.59838132446645	6.59107161466521	6.55098637411881
"Tery_0844"	7.45386190567589	7.7470431288341	7.62542183424471	6.84518382957627	7.11902434623469	7.42848944793549	7.30117804561795
"Tery_0845"	10.2265409672524	10.5022904910749	10.3653731368043	9.75896671139405	9.75812942413439	10.3622449857714	9.92395570252923
"Tery_0846"	6.61903649062043	6.78378944312227	6.86154226952254	5.92144745401652	5.81708589295583	6.13121951187416	6.25006151649863
"Tery_0847"	10.5106062655338	11.0709460603314	10.8509985595859	8.72217098968498	8.97135052979387	10.0160706998799	9.87610797149392
"Tery_0848"	6.11120348642497	6.58198920540162	6.10019446474524	5.29867045542325	5.32742533663596	5.46819455884674	5.6871053353311
"Tery_0849"	8.08636684152394	8.16684490817905	8.15015235338767	7.35867184296075	7.60622137236917	7.73145293953304	7.76414658169716
"Tery_0850"	6.78365526525799	6.9732723541336	6.83199436851764	6.68675961176226	7.08755473108307	6.85193581854259	6.82957228795825
"Tery_0852"	1.66003179163772	1.54281259052541	1.67867754105543	1.59345362222255	1.5855391831418	1.6464521585838	1.77657755709334
"Tery_0854"	1.82593809234514	2.14856848352251	1.88855688813208	1.79579215623315	1.88741683562265	1.82650167630383	1.94429030177756
"Tery_0855"	5.69378121388857	5.77745412125235	5.69719679499727	5.74071908008994	5.80594706596448	5.4807369364017	6.12487006724143
"Tery_0856"	4.14583204352729	4.12253132492978	4.3016200901136	4.0378619478938	4.03692347330255	4.09412376340845	4.07861112746278
"Tery_0857"	4.67220261710729	4.77822095542682	4.68370195426517	4.7814812497962	4.46751223755842	4.51986942087455	4.66636016241177
"Tery_0858"	9.46910985307465	9.54353337244065	9.51178067497526	9.53301799091269	9.66394492478768	9.22069656517086	9.48311599877491
"Tery_0859"	10.2877029000785	10.178586354418	10.1302961033909	10.5041921863975	10.5625231770125	10.2585453349025	10.2592060613239
"Tery_0861"	5.36361197597865	5.64420127580733	5.54527735256104	5.50355979007542	5.44374929973772	5.63144390132879	5.66948032980896
"Tery_0863"	8.97013459850001	9.11287016687104	9.08349778699439	9.14482617252119	8.90486509901107	9.52841607039466	9.04776730974439
"Tery_0864"	2.53083970729288	2.48026610623869	2.64484656922565	2.67310928231005	2.61633584663127	2.55986377704316	2.67956409651634
"Tery_0865"	4.36781953285894	4.56851108516038	4.77696240566142	4.49167660211966	4.54885995640379	4.67666574609362	4.82787645856407
"Tery_0866"	7.58961845784036	7.38959808881666	7.44172493273217	7.77465694697705	7.54703955127175	7.85338201294687	7.362511356631
"Tery_0868"	2.89515069708565	2.91356391073177	2.7615097519171	3.00392966595507	2.81862478679848	3.13745010510852	3.00466784277513
"Tery_0869"	6.95215217038749	6.78861006795854	6.6376066071411	7.00008066619642	6.71871831995418	7.18092536114302	6.67034672617224
"Tery_0870"	6.34571493418079	6.34957305145627	6.23636340075569	6.19321908713027	6.12718582001762	6.14680188805358	6.28346901030056
"Tery_0871"	5.2234006365451	5.3768647508036	5.202909731301	5.17761808712125	5.25061789013416	5.20545261639645	5.31651001559757
"Tery_0872"	3.25308514393969	3.03014316214794	3.28830826798354	3.27017016324114	3.21647147542763	3.06307139012063	3.02641982397178
"Tery_0875"	9.27861280523842	9.25771766087989	9.13577691665094	9.34468778767962	9.13302831904659	9.86461060663298	9.1624992684765
"Tery_0876"	9.23620151075283	9.30570078795277	8.93747082078198	9.52090143684982	9.31166677872134	9.72220472058189	9.1404450028347
"Tery_0878"	8.14328533001151	7.77023773947899	7.87485608471072	8.18294509474136	7.86675034122777	8.2008696734701	7.94193349869252
"Tery_0879"	6.14254335108463	6.08146900584841	5.95783917871651	6.01176954966887	6.02652807702243	6.20300740326981	5.85684614576789
"Tery_0880"	7.38467357111943	7.26093402725679	7.17558080317833	7.44971119688324	7.17287366532024	7.32984145536057	7.18810481875933
"Tery_0881"	7.67772708613626	7.80015373617075	7.83056015312944	7.44815149284023	7.49205920981124	8.04943753712062	7.7957705292062
"Tery_0882"	9.711417904684	9.70128317961595	9.69691093951774	9.74561994663076	9.6060699592354	10.0324015457528	9.79847611297689
"Tery_0883"	7.39696844812859	7.3548903160229	7.36704195415715	7.33785444664472	7.41731887234218	7.19561181509769	7.3965543586949
"Tery_0884"	6.34381762755092	6.11898009820324	6.33947543831764	6.47759426240579	6.48311662994221	6.06739797373922	6.42448221412835
"Tery_0886"	8.88061271761508	8.84412275650484	8.85858070125623	8.86276612897996	8.78440455448855	9.08202564164905	8.91170394322623
"Tery_0887"	8.32454381103299	8.39810182706383	8.28414119923636	8.721115678826	8.49185577463986	8.65072780407725	8.40994405923064
"Tery_0888"	7.3004819491079	6.97659443143896	6.93019748235395	7.28911451363919	7.14402630379011	7.24732941381438	7.19084830233173
"Tery_0889"	9.13651166496347	9.09442903678937	8.86611017331369	9.3064372182114	9.01706316240358	9.23762765368309	8.95749341170087
