""	"baseMean"	"baseMean_LFe"	"baseMean_HFe"	"baseMean_MFe"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Tery_3667"	107.580162495537	108.122056688716	106.59161753524	108.521085742804	-0.00595125669907292	0.284707267674717	-0.0209030726460848	0.983322975543383	0.994672577730926
"Tery_1019"	469.513149254936	469.709910709505	470.102877586891	468.431795302432	0.00483570140499464	0.253874319644639	0.0190476193565518	0.984803117535635	0.994827248305599
"Tery_3531"	353.79179096245	378.557603675869	381.142840311147	287.999404225984	0.0041754771537951	0.219156793431922	0.0190524650794918	0.984799251909605	0.994827248305599
"Tery_2521"	603.523041251252	632.050542815067	635.789161210198	526.596359749019	0.00383406945573908	0.206343615491925	0.0185809938756701	0.985175364909585	0.994929576443344
"Tery_1472"	54.7442810953621	56.9064172014867	57.5959908824349	48.3045803086285	0.00601295072749072	0.344029622158609	0.017478002881736	0.986055281324078	0.995222748440164
"Tery_3152"	166.923256055664	164.330187601573	164.213283349937	173.581283568348	0.00440541691914586	0.250258585238156	0.0176034596973106	0.98595519666602	0.995222748440164
"Tery_3447"	47.3139825084037	48.4998399308093	48.9226099825933	43.7151838747137	-0.00581100979716842	0.337891046385229	-0.0171978803798882	0.986278753151894	0.995222748440164
"Tery_3895"	1010.89411824418	1009.90931622587	1012.68976379868	1009.18545193074	0.00312643458509989	0.193239485410296	0.0161790670186359	0.987091535378129	0.995769263161673
"Tery_4479"	2250.06025348606	2210.01037863398	2213.67728255914	2344.68458472852	0.0033813186762298	0.216451995646109	0.0156215638767227	0.987536302295355	0.995944329038326
"Tery_0982"	660.381064280132	646.43340224389	646.157666921903	695.66382235372	-0.00398130958343558	0.26239103600526	-0.0151731920573528	0.987894008839621	0.996031521268283
"Tery_2280"	3683.57225715389	3376.02432222941	3382.03056592737	4443.43272891817	0.0032000872471907	0.224063094439657	0.0142820809254356	0.988604935524873	0.996474697569951
"Tery_2678"	117.060993432635	118.778727997914	118.469443665644	113.230583517843	0.00540539512595854	0.389727404630874	0.0138696818897768	0.988933949750503	0.996532783612472
"Tery_2361"	41.0616961721192	38.6964180946546	38.9219204689484	46.63663780434	-0.0052460409763475	0.41885839143181	-0.0125246171108441	0.990007062636715	0.996647345353849
"Tery_3976"	5408.51388930592	5440.09389747801	5429.37386057411	5345.64392423155	-0.0027708887343807	0.224066336908283	-0.0123663767284905	0.990133310416896	0.996647345353849
"Tery_4315"	287.590283353902	289.576141165127	288.294627071176	284.547909966764	-0.00273626557962903	0.213656019133671	-0.0128068733599175	0.989781872797462	0.996647345353849
"Tery_5030"	236.825763663199	243.171976064861	244.373570695224	219.157840713501	-0.00315214306680105	0.244606413511284	-0.0128865920625406	0.989718271723979	0.996647345353849
"Tery_3179"	1242.57126523156	1332.51606367277	1336.11602922014	1012.30932080748	0.00249352843689158	0.229466174481932	0.0108666492676807	0.991329838956639	0.997578286831674
"Tery_1963"	98.8292386417579	100.569272867519	100.887882389152	94.0012387949055	-0.00335275187197965	0.321065952661714	-0.010442564352229	0.991668190555121	0.997645368689974
"Tery_R0037"	4289.07724520957	2986.94575627996	3008.52504439563	7512.03703536008	0.0103520173944666	1.09939583650302	0.00941609659664933	0.992487152921106	0.998195788969132
"Tery_2856"	67.6971005871683	66.8908560763069	66.4066375586903	70.4390396407464	0.00274042186786645	0.307582649747122	0.00890954632883057	0.992891304588652	0.998328825424296
"Tery_0469"	441.583629185792	457.657754775921	459.166120295818	399.135766930623	0.00169042855206055	0.223526185912496	0.00756255266093211	0.993966013507802	0.998734304338671
"Tery_1028"	185.826157528934	186.549975354389	187.850778068184	182.065408894604	0.00214157393549078	0.297220384296457	0.00720534003937867	0.994251020172181	0.998734304338671
"Tery_2745"	1339.85235782091	1378.84505908069	1377.92572295608	1243.74960885838	-0.00157335498079309	0.239221128188795	-0.00657699005395287	0.994752359012115	0.998734304338671
"Tery_3696"	291.74311262924	292.473229748431	292.825538760678	289.389356312891	0.00175622550839462	0.225636242762053	0.00778343712382531	0.99378977839348	0.998734304338671
"Tery_3704"	122.398145642985	130.031374096266	131.082624725794	101.738198565489	0.00161698170220538	0.254292789391897	0.00635873988433627	0.994926493810147	0.998734304338671
"Tery_5005"	143.009120020616	154.242621262622	154.766112379519	114.140130240255	-0.00206870047453943	0.294452603864512	-0.00702558050901568	0.99439444389512	0.998734304338671
"Tery_4573"	138.523892516104	139.886359664486	139.562843103273	135.602999486968	0.00131037797259909	0.239294017495182	0.00547601643499287	0.995630792868219	0.999168152886608
"Tery_1113"	155.159289967251	149.482710607725	148.187448192441	171.293631988993	-0.00126589286119347	0.259485288121528	-0.00487847642676604	0.996107554418579	0.999341455619667
"Tery_4492"	1852.81610994208	1792.68309108863	1793.22343551474	2002.33814043654	0.000871723978411771	0.190441363568274	0.00457738782204873	0.996347785681809	0.999341455619667
"Tery_2893"	271.193834518271	278.014384662601	279.82741112658	251.422919461476	0.000833222117761606	0.229271872079218	0.00363420994562173	0.997100326376571	0.999353711147878
"Tery_2914"	168.899264988804	163.166467783263	163.37532944341	182.917965512435	-0.000864042075567771	0.293578063078731	-0.00294314250358704	0.99765171542632	0.999353711147878
"Tery_4014"	137.943004879005	147.051599530538	148.144432767218	113.532268395153	-0.00102300908759186	0.265610082424444	-0.00385154463359976	0.996926919599491	0.999353711147878
"Tery_4526"	194.694918720377	197.051683479173	197.407940843278	188.268620777228	-0.000703314203356758	0.246208282637995	-0.0028565822230719	0.99772078024731	0.999353711147878
"Tery_4579"	764.907105250872	755.460816114151	756.351473607853	787.186841852121	0.0010502074941477	0.299174726624379	0.00351034830380661	0.997199153037614	0.999353711147878
"Tery_0921"	837.371571541936	884.146637388788	885.245475389487	718.785649923758	0.000466072377895842	0.249264893335837	0.0018697874845452	0.99850812630339	0.999808612258379
"Tery_1704"	624.157496786525	591.644905892142	589.711798339382	708.338635351625	0.000278179016263997	0.220144033009509	0.00126362278577853	0.998991775156861	0.999808612258379
"Tery_3205"	732.201735716072	736.497703128005	735.858676745068	722.420356760644	0.000328422272863247	0.218898988412904	0.0015003370972357	0.998802904643228	0.999808612258379
"Tery_1752"	142.828764918611	142.059108104909	142.163901588067	144.595716728129	0.00013623013319586	0.264927631325285	0.000514216401340911	0.99958971469054	0.999862008265776
"Tery_2655"	422.605366768487	410.76101433885	409.850461616027	453.582076926812	0.000136329678518654	0.218601638755223	0.000623644357356841	0.999502403828088	0.999862008265776
"Tery_2205"	5938.61159612129	5881.06066435198	5881.96208757192	6081.13679071464	-1.97020891370341e-06	0.228727169640604	-8.61379484037324e-06	0.999993127186087	0.999993127186087
"Tery_0002"	23.7769694160436	25.5820378775817	26.004180677341	18.6310840625594	0.0243618349621231	0.428992766190905	0.0567884516525435	0.954713713339186	NA
"Tery_0024"	26.0355571305391	31.2728155918395	23.9008731146723	24.0003246930388	-0.409090385538472	0.466804008753468	-0.876364336782128	0.380831999583059	NA
"Tery_0025"	15.5061945195049	13.2696153897057	16.9589847612811	15.5635882866399	0.301822217897417	0.549131769451188	0.549635323774953	0.582569525597949	NA
"Tery_0035"	19.5833745642651	15.675216589078	22.8849500760028	18.5391692718457	0.471721289118499	0.514070467166415	0.917619896973761	0.358817897425225	NA
"Tery_0037"	3.63736497110515	3.82822763088216	4.09265660974488	2.76356485336856	0.222978741818181	1.02448024515211	0.21765060173032	0.827701354999416	NA
"Tery_0050"	6.02698009890779	5.89757661895606	7.85692883225081	3.41146047884501	0.42389774490124	0.804554505488852	0.52687262579392	0.59828204462738	NA
"Tery_0054"	28.4506275075776	25.4786384252326	30.6925847026192	28.0596807973602	0.219059076661664	0.415070182778778	0.52776394390733	0.597663185460229	NA
"Tery_0064"	20.9911139135817	24.004176273439	21.004982994789	17.9572479319134	-0.177443518748917	0.462050560480473	-0.384034852299278	0.700952616039977	NA
"Tery_0065"	19.812939400214	22.1676800443144	22.8744067584129	12.8659977188154	-0.00279352436091806	0.478603628516607	-0.00583682236086751	0.995342915997437	NA
"Tery_0070"	6.73147839162701	9.05329982724149	4.66401611994134	7.51085036354104	-0.913814430523344	0.77630596387915	-1.17713179215714	0.239142907484655	NA
"Tery_0091"	15.9922794914287	13.4506324283712	20.361466890198	11.9801454563321	0.555468756916163	0.514376263896977	1.07988800398344	0.280192055803612	NA
"Tery_0097"	23.5005933449956	29.6689001334459	20.2017835970851	22.2805011784112	-0.514698582231351	0.452648114794826	-1.13708323399215	0.255503492090937	NA
"Tery_0102"	4.91306044956731	2.81947099698705	6.53395827852586	4.57530315870972	1.16132818517206	0.987692672513147	1.17579913012527	0.239675154094194	NA
"Tery_0111"	3.4980382268716	4.39733260112976	3.54679531770609	2.52560821636171	-0.271185303870027	1.04550463302626	-0.259382211521216	0.795340353324341	NA
"Tery_0114"	5.07173814297604	3.98346280351498	5.85491903314789	4.98524214717933	0.469784930909787	0.895922586978978	0.524358842758822	0.600028976983744	NA
"Tery_0118"	24.5438526056593	32.0487194667854	22.7332477939818	19.7548929620495	-0.529233075610985	0.443364608862997	-1.19367460783168	0.232605276902974	NA
"Tery_0127"	32.0844628384313	28.8672143924673	36.7538454051169	28.2976374343671	0.274903918768933	0.431291081546785	0.63739764287037	0.523865863357748	NA
"Tery_0135"	32.6052867499086	36.7046866928971	28.6274361101349	34.4726627665806	-0.355340847386489	0.376006829112635	-0.945038280887298	0.344639332798284	NA
"Tery_0175"	3.43042862816109	2.81947099698705	3.6210693465375	3.75542518177052	0.185130189078615	1.08408889429878	0.170770303110949	0.864404380712521	NA
"Tery_0204"	6.81133056988068	6.38906400288725	8.92749125824911	4.05935610432146	0.397883790894109	0.774042024337167	0.514033835869347	0.607228334509909	NA
"Tery_0222"	17.9002950396317	18.0289820681666	17.3006218184069	18.6711178429339	-0.0685380302909572	0.495183785285318	-0.138409278186414	0.889916964660943	NA
"Tery_0223"	17.0900599990808	12.6228928331417	19.7020622863226	17.6392237341574	0.608199960905296	0.546595943500637	1.11270485655294	0.265835209055803	NA
"Tery_0224"	9.03424651979605	11.3036658539809	7.44372709859052	9.15060631741945	-0.582711198014085	0.670905193688935	-0.868544771296344	0.385096173839824	NA
"Tery_0225"	19.4447582537824	15.0542758985467	19.4320634286307	23.8542828467455	0.43005265841714	0.515426698440359	0.834362402487969	0.404076797111218	NA
"Tery_0226"	12.1443656022039	14.6146242348992	10.2897310949792	12.4560587303458	-0.48311380249784	0.576220228413453	-0.838418678615344	0.401795602596062	NA
"Tery_0230"	4.88698325931153	4.81120239874454	6.23846120267634	2.93554720483131	0.317479481959649	0.853971669977847	0.371768166463747	0.710065467056014	NA
"Tery_0250"	15.8120268396841	19.2705914610109	15.9022669230297	12.2181020933389	-0.303753971407344	0.505818729843058	-0.600519422247553	0.548160120908051	NA
"Tery_0254"	2.29501087308181	2.40560119937227	2.93141326067016	1.22981696540881	0.27684255846047	1.34926791332462	0.205179828058258	0.837431629045687	NA
"Tery_0287"	3.19878792731429	2.25036602673945	4.59713118434169	2.04969494234801	1.25898249175226	1.28557151580762	0.979317351288192	0.327423199731133	NA
"Tery_0289"	5.64707579498347	5.6389419939741	5.61780748684546	5.69911205819987	-0.167044037396983	0.856889659061558	-0.194942295814288	0.845438122063403	NA
"Tery_0290"	3.06127298075654	1.91411381544108	3.20463986561962	3.99338181877737	0.843749516394888	1.2303952608955	0.685754849039972	0.492867712698212	NA
