""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Tery_3381"	7.39298363554721	-0.222806276448576	0.834185373648791	-0.267094441459701	0.789396447252627	NA
"Tery_3405"	52.3879141125386	0.573740235248604	0.490459662927489	1.16980106340249	0.242081035634282	NA
"Tery_3410"	7.11095624375309	0.402226865769587	0.807712825581962	0.49798251684289	0.618496364957334	NA
"Tery_3418"	61.0313842575073	-0.00979408205330548	0.366295882403713	-0.0267381713084914	0.978668567705255	NA
"Tery_3440"	74.0524492867439	-0.533077893267432	0.313995696903672	-1.69772356285179	0.089559948385511	NA
"Tery_3447"	47.3139825084037	-0.173951520080602	0.376237611402797	-0.462344844876158	0.643834045306828	NA
"Tery_3455"	56.5060295635295	0.189061597122455	0.38059977417965	0.49674647739863	0.619367842789554	NA
"Tery_3460"	5.57982326702134	-0.688302180452782	0.902718456325475	-0.762477132964051	0.44577528592859	NA
"Tery_3464"	58.6941459706558	0.132214000242154	0.433614105341076	0.30491166826355	0.760433428690701	NA
"Tery_3465"	73.3285125027791	0.491105310016607	0.338059825317593	1.45271716198526	0.146302299967889	NA
"Tery_3471"	34.5737281295833	-0.790399224943502	0.409280356919946	-1.93119266922967	0.0534592302384837	NA
"Tery_3472"	64.8469637483876	-0.511844431650376	0.352313679114698	-1.45280885186335	0.146276833554474	NA
"Tery_3473"	18.1877514988887	0.783877721998122	0.579837203207853	1.3518927686279	0.176409621205236	NA
"Tery_3474"	23.9202736714777	-0.50897049192966	0.490964103584494	-1.03667556999321	0.299887081155966	NA
"Tery_3475"	39.0062382812813	0.276499583612942	0.410024944932856	0.674348200103338	0.500089966901056	NA
"Tery_3477"	51.3138780212932	0.228261437205326	0.361366168540218	0.631662444017423	0.527607473597597	NA
"Tery_3478"	53.2152765749726	0.221722505886998	0.455958556759732	0.486277760554968	0.626770244954461	NA
"Tery_3495"	67.9081625871232	0.559664200645332	0.331858479699937	1.68645442223256	0.0917083067475971	NA
"Tery_3514"	40.3028334155398	-0.404292240525095	0.38166044146869	-1.05929825729205	0.289463968379501	NA
"Tery_3518"	29.6781702788682	-0.161461140497673	0.437497289997403	-0.369056321465743	0.712085744765796	NA
"Tery_3526"	49.2813619779854	0.585093974604666	0.370434507716616	1.57948021152572	0.114225951914702	NA
"Tery_3549"	56.7413640142464	0.272255939125451	0.375626535617352	0.724804861504236	0.468571752908135	NA
"Tery_3551"	42.2949463970726	-0.670428075161341	0.402741613798489	-1.6646605470891	0.0959804983383422	NA
"Tery_3552"	5.295975968598	1.21904718379529	0.972022199749806	1.25413512583259	0.209792894958185	NA
"Tery_3555"	4.32042485820258	0.332237012452711	1.1005491372933	0.301882942973194	0.762741299039904	NA
"Tery_3558"	68.1889640780985	0.0189737081627603	0.343501854225275	0.0552361156988603	0.955950356675972	NA
"Tery_3561"	6.76927306308956	-1.4494323069102	0.946683864010387	-1.53106265144316	0.125753909275094	NA
"Tery_3570"	62.3304165766198	0.0779752223875645	0.39165762019775	0.199090272642198	0.842192130226813	NA
"Tery_3571"	70.2284350162215	-0.305687272535	0.380041205518852	-0.804352970403987	0.421193153848685	NA
"Tery_3573"	30.1823542358822	-0.182419245290103	0.474653538327758	-0.384320837326486	0.70074066574421	NA
"Tery_3574"	61.7805819505884	-0.286461628181065	0.358982460455491	-0.797982240741208	0.424880796055141	NA
"Tery_3576"	13.0822240412937	-0.462371652143398	0.651067958214297	-0.710174178148097	0.477596131406521	NA
"Tery_3580"	23.0712080450374	0.546437031956698	0.517108784570474	1.0567158173702	0.290641303948723	NA
"Tery_3582"	39.7279030211171	0.108671977805315	0.411301873481501	0.264214643335931	0.791614528133674	NA
"Tery_3588"	4.4066041738753	1.01720624460461	0.988629218368044	1.02890570671555	0.303523986470533	NA
"Tery_3589"	26.443569980931	0.00313596292890613	0.460309058756745	0.00681273346515512	0.994564267199737	NA
"Tery_3590"	6.48249989125251	-0.306331883141463	0.946289833377706	-0.323718878018626	0.74615087724029	NA
"Tery_3594"	3.23169584042093	-1.92210206066322	1.33652114721561	-1.43813815790911	0.150394857755281	NA
"Tery_3596"	12.4042337410267	0.918689382790275	0.688144658173874	1.33502363475173	0.181868611117532	NA
"Tery_3598"	6.98285914036305	-0.672286304896416	0.88404387721606	-0.760467124113241	0.446975413428176	NA
